         2810209 function calls (2803916 primitive calls) in 158.976 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      434    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(spec_from_file_location)
     3650    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
      704    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
      352    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:653(create_module)
   352/10    0.001    0.000    0.304    0.030 <frozen importlib._bootstrap_external>:656(exec_module)
     1703    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
      352    0.002    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:726(get_code)
      636    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
      352    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:783(__init__)
      352    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:808(get_filename)
      352    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:813(get_data)
      352    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:823(path_stats)
      587    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:889(__init__)
    82/68    0.000    0.000    0.035    0.001 <frozen importlib._bootstrap_external>:900(create_module)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(exec_module)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
     1472    0.004    0.000    0.008    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(AndersonResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Anderson_ksampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(AnsariResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(BartlettResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatistic2dResult)
